date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,decade,k_factor,home_elo_before,away_elo_before
1990-05-26,Belgium,Romania,2.0,2.0,Friendly,Brussels,Belgium,False,1990,20,1486.5451386742163,1536.0086772370523
1990-05-26,Gambia,Burkina Faso,0.0,0.0,Friendly,Banjul,Gambia,False,1990,20,1470.5478478996208,1500.0
1990-05-27,Antigua and Barbuda,Saint Lucia,0.0,2.0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False,1990,30,1463.5885751764079,1460.7503693505435
1990-05-27,Curaçao,Suriname,1.0,1.0,CFU Caribbean Cup qualification,Willemstad,Curaçao,False,1990,30,1504.3984254888485,1485.2874063139193
1990-05-27,Georgia,Lithuania,2.0,2.0,Friendly,Tbilisi,Soviet Union,False,1990,20,1500.0,1500.0
1990-05-27,Guyana,Grenada,0.0,0.0,CFU Caribbean Cup qualification,Georgetown,Guyana,False,1990,30,1473.9235352637415,1521.485575103835
1990-05-27,Sweden,Finland,6.0,0.0,Friendly,Solna,Sweden,False,1990,20,1527.06991821479,1505.6633982734943
1990-05-28,Hungary,United Arab Emirates,3.0,0.0,Friendly,Nîmes,France,True,1990,20,1481.1954836991913,1432.8504386290679
1990-05-28,Malta,Scotland,1.0,2.0,Friendly,Attard,Malta,False,1990,20,1470.9558689588903,1474.5921986281016
1990-05-29,Bermuda,Barbados,3.0,0.0,Friendly,Hamilton,Bermuda,False,1990,20,1505.839163861365,1541.9591195872356
1990-05-30,Liechtenstein,United States,1.0,4.0,Friendly,Eschen,Liechtenstein,False,1990,20,1500.0,1486.9529014776178
1990-05-30,French Guiana,Saint Vincent and the Grenadines,2.0,2.0,CFU Caribbean Cup qualification,Cayenne,French Guiana,False,1990,30,1480.2936113631488,1512.22601308247
1990-05-30,Italy,Greece,0.0,0.0,Friendly,Perugia,Italy,False,1990,20,1513.6471916086841,1520.0391660517344
1990-05-30,Martinique,Dominica,0.0,0.0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,1990,30,1525.8764067299676,1484.5566010247499
1990-05-30,Iceland,Albania,2.0,0.0,UEFA Euro qualification,Reykjavík,Iceland,False,1990,35,1514.7723293996585,1500.0
1990-05-30,Burkina Faso,Ghana,1.0,0.0,Friendly,Ouagadougou,Burkina Faso,False,1990,20,1501.0195939682674,1500.0
1990-05-30,Germany,Denmark,1.0,0.0,Friendly,Gelsenkirchen,Germany,False,1990,20,1499.4359931564645,1503.754329931379
1990-05-30,Guadeloupe,Jamaica,0.0,0.0,CFU Caribbean Cup qualification,Pointe-à-Pitre,Guadeloupe,False,1990,30,1480.3221906291726,1543.1138524644014
1990-05-30,Austria,Netherlands,3.0,2.0,Friendly,Vienna,Austria,False,1990,20,1523.998864278248,1490.889823550478
1990-05-31,Andalusia,Yugoslavia,0.0,0.0,Friendly,Cádiz,Spain,False,1990,20,1499.1406177005306,1490.5626313572855
1990-06-01,Jordan,Iraq,0.0,2.0,Friendly,Amman,Jordan,False,1990,20,1500.0,1498.2427391933234
1990-06-02,Belgium,Mexico,3.0,0.0,Friendly,Brussels,Belgium,False,1990,20,1486.0982611955337,1525.0637647000542
1990-06-02,Hungary,Colombia,3.0,1.0,Friendly,Budapest,Hungary,False,1990,20,1496.2759852669542,1497.039695698712
1990-06-02,Malta,Republic of Ireland,0.0,3.0,Friendly,Attard,Malta,False,1990,20,1459.207819210605,1516.120981850158
1990-06-02,Switzerland,United States,2.0,1.0,Friendly,St. Gallen,Switzerland,False,1990,20,1494.917952977699,1508.319242829809
1990-06-02,Tunisia,England,1.0,1.0,Friendly,Tunis,Tunisia,False,1990,20,1500.0,1515.2222958413029
1990-06-03,Gambia,Mauritania,2.0,1.0,African Cup of Nations qualification,Banjul,Gambia,False,1990,30,1469.5282539313534,1517.6028274886926
1990-06-03,Yugoslavia,Netherlands,0.0,2.0,Friendly,Zagreb,Yugoslavia,False,1990,20,1492.6492746871775,1483.640892250821
1990-06-06,Norway,Denmark,1.0,2.0,Friendly,Trondheim,Norway,False,1990,20,1528.51265759532,1495.4833432512692
1990-06-06,Belgium,Poland,1.0,1.0,Friendly,Brussels,Belgium,False,1990,20,1502.2893772461828,1530.1842734159763
1990-06-07,Namibia,Mauritius,1.0,2.0,Friendly,Windhoek,Namibia,False,1990,20,1500.0,1485.7363180704517
